Item name:,Category:,Fit & Cut:,Material / Fabric:,Color & Pattern,Brand
Tree Runner NZ,Footwear,Standard Fit,"Eucalyptus tree fiber upper, sugarcane-based EVA midsole, merino wool lining",Blizzard (Off-White),Allbirds
Brooks Men’s Glycerin 22 Neutral Running Shoe,Footwear,Standard Fit,"Engineered mesh upper, nitrogen-infused DNA Tuned midsole, rubber outsole",White / Grey / Black,Brooks
Suede Fisherman Sandal,Footwear,C Width,"Suede uppers, leather footbed, rubber soles",Burnt Brown,Banana Republic
,,,,,
Columbia Men's Down Jacket,Outerwear,Standard Fit,100% Down,Black,Columbia
Faux Suede Jacket Regular Fit,Outerwear,Standard Fit,"94% Polyester, 6% Elastano",Cream,Zara
Italian Wool Harrington Jacket,Outerwear,Standard Fit,49% Wool | 24% Acrylic | 12% Polyester | 10% Polyamide| 5% Other Fibers,Brown Chanteclair,Bonobos
Leather Jacket,Outerwear,Standard Fit,100% Leather,Brown,Cherokee
Navigation Down Hoodie,Outerwear,Classic Fit,"87% Nylon, 13% Elastane",Black,Lululemon
Regular Fit Denim Jacket with Corduroy Collar,Outerwear,Standard Fit,100% Cotton,Beige,H&M
REGULAR FIT WOOL-BLEND SHACKET,Outerwear,Standard Fit,"Polyester 74%, Wool 22%, Acrylic 2%, Rayon 1%, Polyamide 1%",Navy Blue,H&M
Trucker Jacket,Outerwear,Standard Fit,"98% Cotton, 2% Lycra",Medium Wash,Levi
Twill Bomber Jacket,Outerwear,Standard Fit,100% Cotton,Olive Green,Lucky
Ultra Light Down Vest,Outerwear,Standard Fit,100% Down,Olive Green,Uniqlo
Vegan Suede Reversible Vest,Outerwear,Standard Fit,100% polyester,Dark Oak,Banana Republic
Wool-Blend Overcoat,Outerwear,Trim-Fit ,"56% Wool, 42% Polyester, 2% Other Fiber",Tan,Tommy Hilfiger
Zipped Hybrid Knit Cardigan,Outerwear,Standard Fit,"Collar Rib/Back Panel/Sleeve: 44% Nylon, 35% Polyester, 14% Acrylic, 7% Wool | Front Panel: 100% Polyester",Navy Blue,Infinity
The Dante Premium Hybrid Puffer Jacket,Outerwear,Slim Fit,,Gray,Cove Lifestyle
Patagonia Men's Torrentshell 3L Rain Jacket,Outerwear,Regular Fit,"3-layer, 3.5-oz 50-denier ECONYL® 100% recycled nylon ripstop face, a polycarbonate PU membrane with 13% biobased content, a tricot backer and a durable water repellent (DWR) finish",Smolder Blue,Patagonia
Harrington Jacket,Outerwear,Relaxed Fit,50% Cotton | 50% Nylon,Jet Black,Bonobos
Herringbone Cotton-Linen Double-Breasted Suit Jacket,Outerwear,Regular Fit,Linen Blend,Grey,Banana Republic
Comfort Stretch Chore Jacket,Outerwear ,Standard Fit,"97% Organic Cotton Twill, 3% Spandex",Military Olive,Quince
,,,,,
ABC Classic-Fit 5 Pocket Pant,Pants,Classic Fit,Utilitech,Seal Grey,Lululemon
ABC Skinny-Fit Jogger,Pants,Skinny-Fit,100% Warpstreme,Army Green,Lululemon
Athletic Italian-Stretch Chino,Pants,Athletic Fit,"98% cotton, 2% elastane",Charcoal Gray,Banana Republic
Banana Republic Men's 5 Pocket Pant,Pants,Slim Fit,98% Cotton | 2% Spandex,Tan,Banana Republic
Banana Republic Men's 5 Pocket Pant,Pants,Slim Fit,98% Cotton | 2% Spandex,Navy Blue,Banana Republic
Cargo Pants,Pants,Loose Fit,"98% Cotton, 2% Spandex",Black,Uniqlo
Kirkland Signature Unisex Logo Jogger,Pants,Straight Fit,"66% Cotton, 34% Polyester",Gray,Kirkland Signature
Pleated Wide Pants,Pants,Relaxed Fit,"67% Polyester, 29% Rayon, 4% Spandex/",Black,Uniqlo
Slim Chino Pants,Pants,Slim Fit,"97% Cotton, 3% Spandex",Olive Green,Uniqlo
Slim Chino Pants,Pants,Slim Fit,"97% Cotton, 3% Spandex",Navy Blue,Uniqlo
Slim Rapid Movement Chino,Pants,Slim Fit,"90% Cotton, 8% Elastane, 2% Spandex",Charcoal Gray,Banana Republic
Slim Traveler Pants,Pants,Slim Fit,"58% cotton, 32% modal, 7% polyester, 3% elastane",Dark Brown,Banana Republic
Straight Stretch-Corduroy Traveler Pant,Pants,Straight Fit,"70% Cotton, 29% recycled polyester, 1% elastane spandex",Rust Brown,Banana Republic 
Surge Jogger,Pants,Classic-Tapered Fit,"79% Recycled Nylon, 21% Xtra Life Lycra Elastane",Raw Linen,Lululemon
Ultra Stretch Active Jogger Pants,Pants,Standard Fit,100% Polyester,Black,Uniqlo
Ultra Stretch Active Jogger Pants,Pants,Standard Fit,100% Polyester,Black,Uniqlo
Men’s Performance Pant,Pants,Standard Fit,"74% Polyester, 26% Elastomultiester",Black,Kirkland Signature 
Slim Jeans,Pants,Slim Fit,"99% Cotton, 1% Spandex",Black ,Uniqlo
221 Original Straight,Pants,Standard Fit,"98% cotton, 2% elastane",Light Wash,Lucky
511 Slim Fit Jeans,Pants,Slim Fit,"99% Cotton, 1% LYCRA",Dark Wash,Levi
Slim Luxe Traveler Jeans,Pants,Slim Fit,"64% Cotton, 28% TENCEL lyocell, 6% elasterrell, 2% spandex",Rinse Wash,Banana Republic
Slim Brushed Traveler Chino,Pants,Slim Fit,"99% cotton, 1% elastane spandex.",Black,Banana Republic 
Plisse Cotton Trousers,Pants,Regular Fit,100% Cotton,Navy,Banana Republic
Straight Brushed Italian Chinos,Pants,Regular Fit,"99% cotton, 1% elastane spandex.",White,Banana Republic
Straight Traveler Pant,Pants,Straight Fit,"58% Cotton, 32% Modal, 7% Polyester, 3% Spandex",Khaki Beige,Banana Republic
Pleated Trousers,Pants,Straight Fit,Cotton of some sort,Grey,Banana Republic
Pleated Trousers,Pants,Straight Fit,Wool Blend,Burgundy,Banana Republic
Pleated Trousers,Pants,Straight Fit,Cotton Twill,Black,Banana Republic
100% European Linen Dress Pants,Pants,Straight Fit,100% Linen,Black,Quince
Slim Linen-Cotton Traveler Pant,Pants,Slim Fit,"60% flax (linen), 39% cotton, 1% elastane.",White,Banana Republic
Relaxed Linen-Cotton Pull-On Beach Pant,Pants,Relaxed Fit,"55% linen, 45% cotton.",Natural,Banana Republic
Men’s Performance Pant,Pants,Standard Fit,"74% Polyester, 26% Elastomultiester",Blue,Kirkland Signature 
Authentic Slim Linen Chino,Pants,Slim Fit,"60% Linen, 39% Cotton, 1% Elastane",Brown,Banana Republic
Pleated Trousers,Pants,Straight Fit,"54% Linen, 45% Cotton, 1% Elastane",Stone,Banana Republic
Officers Pant,Pants,Slim Fit,"60% Linen, 39% Cotton, 1% Elastane",White,Banana Republic
501 Original Fit Men's Jeans,Pants,Straight Fit,"99% Cotton, 1% Elastane",Light Wash - Low Stretch,Levi
Relaxed Linen-Cotton Pull-On Beach Pant,Pants,Relaxed Fit,100% Linen,Florida Green,Banana Republic
,,,,,
Slim Chambray Shirt,Shirts,Slim Fit,100% Cotton,Chambray Blue,Banana Republic
Slim Oxford Shirt,Shirts,Slim Fit,100% Cotton,Light Blue,Banana Republic
Twill Overshirt,Shirts,Standard Fit,100% Cotton,Tan,Zara
Fleece Overshirt,Shirts,Standard Fit,100% Polyester,Gray,Zara
Slim Dress Shirt,Shirts,Slim Fit,"95% Polyester, 5% Spandex",White ,Nautica
Slim Fit Non-Iron Dress Shirt,Shirts,Slim Fit,96% Cotton 4% Spandex,Light Blue,Calvin Klein
Slim Fit Non-Iron Dress Shirt,Shirts,Slim Fit,96% Cotton 4% Spandex,Tiny Lavender dots over white,Calvin Klein
Slim Fit Non-Iron Dress Shirt,Shirts,Slim Fit,96% Cotton 4% Spandex,Light Pink,Calvin Klein
Slim Fit Non-Iron Dress Shirt,Shirts,Slim Fit,96% Cotton 4% Spandex,White ,Calvin Klein
Men's Vintage Mid-Weight Long Sleeve Flannel Shirt,Shirts,Standard Fit,100% Cotton ,Cream Plaid,Goodfellow & Co™
Extra-Soft Flannel Button-Down Shirt,Shirts,Standard Fit,100% Cotton ,Red Buffalo Plaid,Men's Croft & Barrow® 
Slim Fit Non-Iron Dress Shirt,Shirts,Slim Fit,100% Cotton,White ,Banana Republic
Silky Camp Collar Shirt,Shirts,Standard Fit,100% Viscose,White/Blue Patterns,Abercrombie & Fitch
Slim-Fit Linen Shirt,Shirts,Slim Fit,100% Linen,Light Blue,Banana Republic
Slim-Fit Linen Shirt,Shirts,Slim Fit,100% Linen,Black,Banana Republic
Slim-Fit Linen Shirt,Shirts,Slim Fit,100% Linen,Olive Green,Banana Republic
Slim-Fit Linen Shirt,Shirts,Slim Fit,100% Linen,White,Banana Republic
Floral Short Sleeve Button-Up Shirt,Shirts,Standard Fit,100% Viscose,Bright White ,Original Penguin
Linen-blend Dress Shirt,Shirts,Slim Fit,"66% Linen, 34% Cotton",Light Blue,Banana Republic
Oxford Oversized Shirt | Striped,Shirts,Oversized Fit,"60% Cotton, 40% Rayon",Offwhite w/ Blue Stripes,Uniqlo
Standard Fit Linen Shirt,Shirts,Standard Fit,100% Linen,Light Pink,Banana Republic
Camp Short Sleeve Shirt,Shirt,Standard Fit,"97% Polyester, 3% Spandex",Brick Red,Elliot Pierce
Relaxed-Fit Embroidered Linen Long-Sleeve Resort Shirt,Shirt,Relaxed Fit,100% linen,Natural,Banana Republic
Archive Reissue Relaxed-Fit Cotton Poplin Shirt,Shirt,Relaxed Fit,100% Cotton,Navy Blue Floral,Banana Republic
,,,,,
Textured Jogger Short,Shorts,Relaxed Fit,"51& Polyester, 49% Cotton",White,Zara
"CloudKnit 7"" Short",Shorts,Relaxed Fit,"94% Polyester, 6% Spandex",Navy,Outdoor Voices
"Chino Shorts | 7""",Shorts,Regular Fit,100% Cotton,Navy,Uniqlo
"7"" Linen-Blend Deck Short",Shorts,Standard Fit,"55% flax (linen), 45% cotton",New British Khaki,Banana Republic
"7"" Linen-Blend Short",Shorts,Standard Fit,"55% flax (linen), 45% cotton",Airforce Khaki,Banana Republic
Comfort Shorts,Shorts,Standard Fit,"51& Polyester, 49% Cotton",Olive Green,Target
"Lived-In Chino Short (7"")",Shorts,Standard Fit,"97% cotton, 3% elastane spandex",Cream white,Banana Republic
,,,,,
8 Ball Embroidered Hoodie,Tops,Standard Fit,100% Cotton,Navy Blue with Small 8 Ball around Left chest,Stussy
Abisko Lite Fleece Jacket,Tops,Standard Fit,100% Polyester,Black,Fjallraven
AIRism Cotton Oversized T-Shirt | Half-Sleeve,Tops,Oversized Fit,"53% Cotton, 47% Polyester",Light Gray,Uniqlo
AIRism Cotton Oversized T-Shirt | Half-Sleeve,Tops,Oversized Fit,"53% Cotton, 47% Polyester",Army Green,Uniqlo
AIRism Cotton Oversized T-Shirt | Half-Sleeve,Tops,Oversized Fit,"53% Cotton, 47% Polyester",Brown,Uniqlo
AIRism Cotton Oversized T-Shirt | Half-Sleeve,Tops,Oversized Fit,"53% Cotton, 47% Polyester",Heather Tan,Uniqlo
AIRism Cotton Oversized T-Shirt | Half-Sleeve,Tops,Oversized Fit,"53% Cotton, 47% Polyester",Heather Navy,Uniqlo
AIRism Cotton T-Shirt | Long Sleeve,Tops,Oversized Fit,"53% Cotton, 47% Polyester",Navy Blue,Uniqlo
AIRism Cotton T-Shirt | Long Sleeve,Tops,Oversized Fit,"53% Cotton, 47% Polyester",Rust Brown,Uniqlo
Brushed Lined Mock Neck T-Shirt,Tops,Standard Fit,"56% Cotton, 44% Polyester",Wine,Uniqlo
Champion Men's Reverse Weave Fleece Pullover Hoodie,Tops,Loose Fit,"77% Cotton, 23% Polyester",Oxford Gray,Champion
City Sweat Hoodie,Tops,Standard Fit,"70% Cotton, 30% Recycled Polyester",Black,Lululemon
DRY Color T-Shirt,Tops,Standard Fit,"66% Cotton, 34% Polyester",Navy Blue,Uniqlo
Graphic T-Shirt,Tops,Standard Fit,100% Cotton,Cream with Red Seal,CustomInk
Graphic T-Shirt,Tops,Standard Fit,"60% cotton, 40% recycled polyester",Tan with Frog and Toad,Target
Graphic T-Shirt | Long Sleeve,Tops,Standard Fit,100% Cotton,Cream,CustomInk
Half-Zip Sweatshirt,Tops,Standard Fit,100% Cotton,Off White,Uniqlo
Half-Zip Sweatshirt,Tops,Standard Fit,100% Cotton,Navy Blue,CustomInk
Kirkland Signature Unisex Logo Crewneck,Tops,Relaxed Fit,"66% Cotton, 34% Polyester",Black,Kirkland Signature
Kirkland Signature Unisex Logo Full-Zip Hoodie,Tops,Relaxed Fit,"66% Cotton, 34% Polyester",Black,Kirkland Signature
Kith Classic Logo Williams II Hoodie,Tops,Standard Fit,100% Cotton,White,Kith
Men's Lightweight Baselayer Crew Top,Tops,Base Layer,"40% Polyester, 34% Acrylic, 22% Rayon, 4% Spandex",Black,32 Degrees
Merino Crew-Neck Sweater,Tops,Standard Fit,100% extra-fine merino wool,Charcoal Gray,Banana Republic
Merino Crew-Neck Sweater,Tops,Standard Fit,100% extra-fine merino wool,Topiary garden Green,Banana Republic
Merino Long Sleeve Sweater Polo,Tops,Standard Fit,100% extra-fine merino wool,Heather Oatmeal,Banana Republic 
Merino Long Sleeve Sweater Polo,Tops,Standard Fit,100% extra-fine merino wool,Navy Blue,Banana Republic
Merino Mock-Neck Sweater,Tops,Standard Fit,100% extra-fine merino wool,Heathland Brown,Banana Republic
Quarter-Zip Sweatshirt,Tops,Standard Fit,"80% Cotton, 20% Polyester",Navy Blue,Zara
Soft Brushed T-Shirt Long Sleeve,Tops,Standard Fit,100% Cotton,Black,Uniqlo
UnderArmour Tech Polo,Tops,Standard Fit,100% Polyester,Navy Blue,UnderArmour
Waffle Knit Top,Tops,Standard Fit,"53% cotton, 46% polyester, 1% elastane spandex",Navy Blue,Banana Republic
Waffle Knit Top,Tops,Standard Fit,"53% cotton, 46% polyester, 1% elastane spandex",Dark Brown,Banana Republic
Waffle T-Shirt | Long Sleeve,Tops,Standard Fit,"60% cotton, 40% recycled polyester",Olive Green,Uniqlo
White Graphic T-Shirt,Tops,Standard Fit,100% Cotton,White with Yellow Bird,CustomInk
Zara Men's Regular Fit Textured Sweatshirt,Tops,Standard Fit,100% Cotton,White ,Zara
Heavy Weight Sweat Hoodie Long Sleeve,Tops,Standard Fit,"82% Cotton, 18% Polyester",Olive Green,GU
Mock Neck Tee,Tops,Standard Fit,"52% Polyester, 48% Cotton",Tan,Uniqlo
Cable Knit Sweater,Tops,Standard Fit,100% Wool,Ecru,Mango
Mini Ribbed Shirt,Tops,Slim Fit,"97% Cotton, 3% Spandex",Black,Banana Republic
Mini Ribbed Shirt,Tops,Slim Fit,"97% Cotton, 3% Spandex",Truffle,Banana Republic
Mini Ribbed Shirt,Tops,Slim Fit,"97% Cotton, 3% Spandex",Spiced Olive,Banana Republic
Mini Ribbed Shirt,Tops,Slim Fit,"97% Cotton, 3% Spandex",Transition Cream,Banana Republic
Mini Ribbed Shirt,Tops,Slim Fit,"97% Cotton, 3% Spandex",Navy Heather,Banana Republic
Men's Polo Bear Fleece Sweatshirt,Tops,Regular Fit,"81% cotton, 19% polyester",Moss Agate Holiday Bear,Polo Ralph Lauren
Men's Essential Three-Stripes Single Jersey T-Shirt,Tops,Slim Fit,100% Cotton,White,Adidas
Supima Cotton T-Shirt,Tops,Slim Fit,100% Supima Cotton,White,Uniqlo
Muscle Tee Fit T-Shirt,Tops,Slim Fit,100% Cotton,Stone,Zara
Graphic T-Shirt,Tops,Standard Fit,"60% cotton, 40% recycled polyester",White with Frog and Toad,Target
Tong Sui Graphic T-Shirt,Tops,Standard Fit,100% Cotton,Sage Green,Tong Sui
AIRism Cotton Oversized T-Shirt | Half-Sleeve,Tops,Oversized Fit,"53% Cotton, 47% Polyester",Sage Green,Uniqlo
Evolution Short-Sleeve Polo Shirt,Tops,Slim Fit,"85% Polyester, 10% Lyocell, 5% Lycra Elastane",Steel Blue,Lululemon
Short Sleeved Textured Sweater Polo,Tops,Standard Fit,100% Cotton,Dark Camel,Banana Republic
Supima Cotton T-Shirt,Tops,Slim Fit,100% Supima Cotton,White,Uniqlo
Uniform Pique Polo,Tops,Standard Fit,"60% Cotton, 40% Polyester",Olive Green,Old Navy
Evolution Short-Sleeve Polo Shirt,Tops,Slim Fit,"85% Polyester, 10% Lyocell, 5% Lycra Elastane",Club Blue,Lululemon
Uniform Pique Polo,Tops,Standard Fit,"60% Cotton, 40% Polyester",Rust Brown,Old Navy
Laced Johnny Collar Polo,Tops,Standard Fit,"50% Nylon, 50% Cotton",White,Banana Republic
Cable Short Sleeve Polo Shirt,Tops,Regular Fit,100% Cotton,Ivory (Cable Knit),Tommy Hilfiger
Cotton Stripe Texture Knitted Polo,Tops,Regular Fit,100% Cotton,Teal (Stripe Texture),Charles Tyrwhitt
,,,,,
,,,,,
HEATTECH Tights ,Underlayer,Base Layer,"39% Polyester, 32% Acrylic, 21% Rayon, 9% Spandex",Dark Gray,Uniqlo
HEATTECH Cotton T-Shirt,Underlayer,Base Layer,"52% Cotton, 41% Acrylic, 7% Spandex",Green,Uniqlo
HEATTECH Cotton T-Shirt,Underlayer,Base Layer,"52% Cotton, 41% Acrylic, 7% Spandex",Beige,Uniqlo
HEATTECH Cotton T-Shirt (Mock Neck),Underlayer,Base Layer,"52% Cotton, 41% Acrylic, 7% Spandex",Black,Uniqlo
HEATTECH Cotton T-Shirt (Mock Neck),Underlayer,Base Layer,"52% Cotton, 41% Acrylic, 7% Spandex",Gray,Uniqlo
Cotton Tank Top,Underlayer,Standard Fit,Cotton,White (Solid),Hanes
